Set FWHM (nm), Detector 2 (cts/s)
0.05, 15588.9
0.075, 36438.3
0.1, 52205.0
0.125, 66727.8
0.15, 80619.1
0.175, 94172.7
0.2, 108135.1
0.225, 121849.3
0.25, 135616.8
0.275, 148429.4
0.3, 162120.8
0.325, 176071.6
0.35, 189012.9
0.375, 203034.0
0.4, 217122.8
0.425, 231544.4
0.45, 247452.9
0.475, 261899.8
0.5, 277273.7
0.525, 292313.5
0.55, 307952.0
0.575, 323158.8
0.6, 338694.6
0.625, 356366.9
0.65, 377277.9
0.675, 386512.4
0.7, 402617.1
0.725, 425603.7
0.75, 444907.3
0.775, 464959.6
0.8, 485392.1
0.825, 505750.2
0.85, 527557.3
0.875, 547817.4
0.9, 578567.4
0.925, 599428.2
